app_id,app_name,review_count
17710,Nuclear Dawn,1015
17740,Empires,335
18000,"On the Rain-Slick Precipice of Darkness, Episode One",300
18020,"On the Rain-Slick Precipice of Darkness, Episode Two",95
18040,DeathSpank,258
18050,DeathSpank: Thongs Of Virtue,76
18070,The Baconing,110
18120,Unstoppable Gorg,122
18400,Crazy Machines 2,99
18420,Crazy Machines,35
18470,Helldorado,23
18480,Mata Hari,24
18500,Defense Grid: The Awakening,2026
18600,Mayhem Intergalactic,15
18700,And Yet It Moves,632
18820,Zero Gear,45
19000,Silent Hill: Homecoming,256
19020,Puzzle Chronicles,15
19200,Tank Universal,192
19320,Space Ark,8
19500,Eternity's Child,40
19680,Alice: Madness Returns,3514
19800,Brothers in Arms: Earned in Blood,100
19830,Tom Clancy's Rainbow Six 3: Gold Edition,408
19900,Far Cry 2,2428
19930,The Settlers: Rise of an Empire Gold Edition  ,78
19980,Prince of Persia,458
20200,Galactic Bowling,9
100400,Silo 2,32
102200,Runespell: Overture,199
102500,Kingdoms of Amalur: Reckoning™,4439
102600,Orcs Must Die!,2258
102700,A.V.A. Alliance of Valiant Arms™,5017
102810,Gatling Gears,51
102840,Shank 2,497
102850,WARP,137
104000,iBomber Defense,96
104020,Storm in a Teacup,68
104100,Inside a Star-filled Sky ,58
104200,BEEP,806
104600,Portal 2 - The Final Hours,244
104700,Super Monday Night Combat,2422
104900,ORION: Prelude,11500
105000,A New Beginning - Final Cut,443
105100,Lume,302
105300,Critical Mass,197
105420,Ms. Splosion Man,93
105450,Age of Empires® III (2007),97
105600,Terraria,83899
105700,Tobe's Vertical Adventure,87
106000,The Cursed Crusade,77
107100,Bastion,14665
107200,Space Pirates and Zombies,1756
107300,Breath of Death VII ,695
107310,Cthulhu Saves the World ,1812
107410,Arma 3,31824
107600,Waves,582
107900,War Inc. Battlezone,1391
108110,Starpoint Gemini,66
108200,Ticket to Ride,742
108210,Memoir '44 Online,121
108500,Vessel,311
108600,Project Zomboid,8127
108700,Death Rally,229
108710,Alan Wake,6128
109200,Legend of Fae,64
109500,Fowl Space,110
109700,Achron,69
110400,inMomentum,95
110500,Data Jammers: FastForward,47
110600,Astro Tripper,31
110630,Mutant Storm Reloaded,15
110800,L.A. Noire,5053
111000,The Clockwork Man,45
111010,The Clockwork Man: The Hidden World,39
111100,Snuggle Truck,223
111300,Smash Cars,16
111400,Bunch Of Heroes,195
111600,Serious Sam Double D XXL,218
111800,Blocks That Matter,388
111900,Guardians of Middle-earth,603
112100,Avadon: The Black Fortress,261
113020,Monaco,3634
113200,The Binding of Isaac,20172
113400,APB Reloaded,12378
113420,Fallen Earth,3254
115100,Costume Quest,1449
115110,Stacking,700
115120,Iron Brigade,361
115200,Cossacks II: Napoleonic Wars,83
115210,American Conquest,93
115220,American Conquest - Fight Back,62
115320,PROTOTYPE 2,1632
115800,Owlboy,1044
116100,Super Toy Cars,162
116120,Lightfish,66
200010,Quantum Conundrum,814
200020,Global Ops: Commando Libya,95
200050,Naval War: Arctic Circle,80
200080,Nancy Drew: Shadow at the Water's Edge,40
200130,Puzzler World 2,118
200170,Worms Revolution,1444
200190,Sideway,56
200210,Realm of the Mad God Exalt,12607
200230,Off-Road Drive,182
200260,Batman: Arkham City GOTY,864
200370,A Game of Dwarves,289
200390,Oil Rush,187
200410,SOL: Exodus,58
200490,Memento Mori,40
200510,XCOM: Enemy Unknown,19497
200550,Dungeons - The Dark Lord,80
200630,Gettysburg: Armored Warfare,133
200670,Disciples III: Resurrection,67
200710,Torchlight II,12530
200900,Cave Story+,3257
200910,Before the Echo,905
200940,Sonic CD,927
200960,Geneforge 1,180
